,"Instructions
Enter stock symbol in cell B4",,,,,POWERED BY
,,,,,,Google Finance
,,,,,,
,fb,<< enter a symbol,,,,
,,"<< optionally, enter an exchange (ex: NASDAQ, NYSE)",,,,
,,,,,,
,Meta Platforms Inc,,,,,
,,,,,,
,Current Price,,Change,% Change,,
,310.39,,-0.21,-0.07%,,
,,,,,,
,,,,,,
,Market Cap,P/E Ratio,Beta,,,
,"863,430M",22.19,1.29,,,
,,,,,,12 Months
,,,,,,
,,,,,,
,fb,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,Date,Open,High,Low,Close,Volume
,"Dec 3, 2020",286.25,286.65,281.07,281.85,"12,921,694"
,"Dec 4, 2020",280.30,283.46,279.30,279.70,"10,880,299"
,"Dec 7, 2020",279.19,288.49,278.20,285.58,"13,007,665"
,"Dec 8, 2020",286.01,286.43,281.55,283.40,"10,747,650"
,"Dec 9, 2020",283.66,287.63,271.75,277.92,"25,189,707"
,"Dec 10, 2020",275.54,278.73,271.86,277.12,"20,065,091"
,"Dec 11, 2020",274.53,276.48,270.25,273.55,"14,391,401"
,"Dec 14, 2020",273.37,277.22,271.56,274.19,"16,376,880"
,"Dec 15, 2020",274.83,276.08,267.47,275.55,"23,979,461"
,"Dec 16, 2020",274.76,277.86,272.51,275.67,"15,884,999"
,"Dec 17, 2020",277.07,280.44,273.61,274.48,"16,377,844"
,"Dec 18, 2020",275.77,278.00,271.14,276.40,"26,693,249"
,"Dec 21, 2020",272.98,274.67,267.79,272.79,"16,553,740"
,"Dec 22, 2020",271.50,271.50,264.63,267.09,"17,334,999"
,"Dec 23, 2020",266.89,272.17,266.23,268.11,"14,329,038"
,"Dec 24, 2020",268.88,270.40,266.20,267.40,"6,702,033"
,"Dec 28, 2020",268.74,277.30,265.66,277.00,"23,299,707"
,"Dec 29, 2020",276.95,280.51,276.28,276.78,"16,382,995"
,"Dec 30, 2020",277.95,278.08,271.71,271.87,"11,803,795"
,"Dec 31, 2020",272.00,277.09,269.81,273.16,"12,900,408"
,"Jan 4, 2021",274.78,275.00,265.20,268.94,"15,106,113"
,"Jan 5, 2021",268.29,272.40,268.21,270.97,"9,871,557"
,"Jan 6, 2021",262.00,267.75,260.01,263.31,"24,354,149"
,"Jan 7, 2021",265.90,271.61,264.78,268.74,"15,789,756"
,"Jan 8, 2021",268.31,268.95,263.18,267.57,"18,528,251"
,"Jan 11, 2021",260.48,263.47,255.90,256.84,"30,412,286"
,"Jan 12, 2021",256.63,259.72,250.30,251.09,"26,449,943"
,"Jan 13, 2021",251.55,253.95,249.20,251.64,"19,528,938"
,"Jan 14, 2021",253.40,255.03,244.61,245.64,"29,739,404"
,"Jan 15, 2021",247.90,253.86,247.16,251.36,"24,942,930"
,"Jan 19, 2021",256.90,262.20,252.72,261.10,"28,028,546"
,"Jan 20, 2021",268.93,270.32,263.60,267.48,"25,199,919"
,"Jan 21, 2021",269.26,273.60,267.49,272.87,"20,838,687"
,"Jan 22, 2021",272.01,278.47,272.00,274.50,"21,954,042"
,"Jan 25, 2021",278.14,280.10,271.51,278.01,"19,086,990"
,"Jan 26, 2021",278.14,285.39,277.81,282.05,"19,373,636"
,"Jan 27, 2021",282.53,283.45,268.12,272.14,"35,346,194"
,"Jan 28, 2021",277.18,286.79,264.70,265.00,"37,758,844"
,"Jan 29, 2021",265.30,266.56,254.85,258.33,"30,389,499"
,"Feb 1, 2021",259.52,264.17,254.91,262.01,"22,914,255"
,"Feb 2, 2021",264.00,268.85,263.27,267.08,"17,320,788"
,"Feb 3, 2021",265.62,269.20,263.84,266.65,"14,223,377"
,"Feb 4, 2021",267.01,268.16,264.00,266.49,"16,059,958"
,"Feb 5, 2021",266.80,269.17,265.67,268.10,"12,454,367"
,"Feb 8, 2021",268.75,269.86,265.00,266.58,"13,755,191"
,"Feb 9, 2021",266.44,273.39,265.75,269.45,"14,613,375"
,"Feb 10, 2021",272.45,273.80,267.72,271.87,"14,687,152"
,"Feb 11, 2021",271.89,273.58,268.49,270.39,"12,828,572"
,"Feb 12, 2021",270.52,271.18,268.34,270.50,"9,097,597"
,"Feb 16, 2021",270.80,276.60,270.05,273.97,"15,417,243"
,"Feb 17, 2021",271.24,273.97,269.58,273.57,"12,763,240"
,"Feb 18, 2021",269.57,271.95,266.03,269.39,"15,249,134"
,"Feb 19, 2021",269.86,270.27,260.15,261.56,"25,622,587"
,"Feb 22, 2021",257.95,263.07,257.53,260.33,"17,434,873"
,"Feb 23, 2021",259.50,267.46,254.96,265.86,"21,924,557"
,"Feb 24, 2021",262.33,266.38,258.39,264.31,"15,736,123"
,"Feb 25, 2021",262.30,266.94,254.04,254.69,"19,053,142"
,"Feb 26, 2021",256.47,265.55,256.47,257.62,"26,619,517"
,"Mar 1, 2021",260.82,266.65,257.90,264.91,"22,157,255"
,"Mar 2, 2021",265.78,266.71,258.65,259.00,"15,191,722"
,"Mar 3, 2021",260.29,260.99,255.10,255.41,"15,513,515"
,"Mar 4, 2021",256.47,266.49,253.50,257.64,"31,626,463"
,"Mar 5, 2021",260.67,265.45,255.61,264.28,"26,820,055"
,"Mar 8, 2021",265.55,265.58,255.05,255.31,"18,391,768"
,"Mar 9, 2021",261.18,268.53,259.81,265.74,"22,039,740"
,"Mar 10, 2021",268.64,268.97,262.87,264.90,"14,210,318"
,"Mar 11, 2021",268.11,277.90,267.82,273.88,"21,833,979"
,"Mar 12, 2021",269.14,269.74,264.02,268.40,"20,600,198"
