,"Instructions
Enter stock symbol in cell B4",,,,,POWERED BY
,,,,,,Google Finance
,,,,,,
,GOOG,<< enter a symbol,,,,
,,"<< optionally, enter an exchange (ex: NASDAQ, NYSE)",,,,
,,,,,,
,Alphabet Inc Class C,,,,,
,,,,,,
,Current Price,,Change,% Change,,
,"2,875.53",,+43.17,+1.52%,,
,,,,,,
,,,,,,
,Market Cap,P/E Ratio,Beta,,,
,"1,901,562M",27.69,1.07,,,
,,,,,,12 Months
,,,,,,
,,,,,,
,GOOG,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,Date,Open,High,Low,Close,Volume
,"Dec 3, 2020","1,824.01","1,847.20","1,822.65","1,826.77","1,227,298"
,"Dec 4, 2020","1,824.52","1,833.16","1,816.99","1,827.99","1,378,166"
,"Dec 7, 2020","1,819.00","1,832.37","1,805.78","1,819.48","1,320,946"
,"Dec 8, 2020","1,810.10","1,821.90","1,796.20","1,818.55","1,096,319"
,"Dec 9, 2020","1,812.01","1,834.27","1,767.81","1,784.13","1,507,558"
,"Dec 10, 2020","1,769.80","1,781.31","1,740.32","1,775.33","1,362,848"
,"Dec 11, 2020","1,763.06","1,784.45","1,760.00","1,781.77","1,220,651"
,"Dec 14, 2020","1,775.00","1,797.39","1,757.22","1,760.06","1,600,173"
,"Dec 15, 2020","1,764.42","1,771.42","1,749.95","1,767.77","1,482,261"
,"Dec 16, 2020","1,772.88","1,773.00","1,756.08","1,763.00","1,513,543"
,"Dec 17, 2020","1,768.51","1,771.78","1,738.66","1,747.90","1,624,744"
,"Dec 18, 2020","1,754.18","1,755.11","1,720.22","1,731.01","4,016,353"
,"Dec 21, 2020","1,713.51","1,740.85","1,699.00","1,739.37","1,828,378"
,"Dec 22, 2020","1,734.43","1,737.41","1,712.58","1,723.50","938,346"
,"Dec 23, 2020","1,728.11","1,747.99","1,725.04","1,732.38","1,033,917"
,"Dec 24, 2020","1,735.00","1,746.00","1,729.11","1,738.85","346,753"
,"Dec 28, 2020","1,751.64","1,790.73","1,746.34","1,776.09","1,393,033"
,"Dec 29, 2020","1,787.79","1,792.44","1,756.09","1,758.72","1,299,395"
,"Dec 30, 2020","1,762.01","1,765.10","1,725.60","1,739.52","1,306,130"
,"Dec 31, 2020","1,735.42","1,758.93","1,735.42","1,751.88","1,012,240"
,"Jan 4, 2021","1,757.54","1,760.65","1,707.85","1,728.24","1,901,855"
,"Jan 5, 2021","1,725.00","1,747.67","1,718.02","1,740.92","1,145,347"
,"Jan 6, 2021","1,702.63","1,748.00","1,699.00","1,735.29","2,602,114"
,"Jan 7, 2021","1,740.06","1,788.40","1,737.05","1,787.25","2,265,022"
,"Jan 8, 2021","1,787.98","1,809.84","1,773.54","1,807.21","2,051,002"
,"Jan 11, 2021","1,786.07","1,794.32","1,760.52","1,766.72","1,209,735"
,"Jan 12, 2021","1,753.92","1,778.04","1,725.31","1,746.55","1,357,691"
,"Jan 13, 2021","1,738.58","1,765.04","1,738.01","1,754.40","1,094,131"
,"Jan 14, 2021","1,753.62","1,775.01","1,733.40","1,740.18","1,179,477"
,"Jan 15, 2021","1,738.19","1,756.00","1,721.55","1,736.19","1,342,170"
,"Jan 19, 2021","1,752.25","1,809.28","1,741.46","1,790.86","1,734,614"
,"Jan 20, 2021","1,831.46","1,903.71","1,825.53","1,886.90","2,490,258"
,"Jan 21, 2021","1,898.00","1,934.86","1,887.11","1,891.25","2,063,932"
,"Jan 22, 2021","1,895.68","1,910.95","1,881.76","1,901.05","1,272,232"
,"Jan 25, 2021","1,920.67","1,929.58","1,867.53","1,899.40","1,927,320"
,"Jan 26, 2021","1,888.84","1,925.00","1,884.25","1,917.24","1,313,139"
,"Jan 27, 2021","1,882.53","1,890.00","1,809.00","1,830.79","2,748,292"
,"Jan 28, 2021","1,843.94","1,898.83","1,842.64","1,863.11","1,773,138"
,"Jan 29, 2021","1,846.17","1,857.28","1,810.20","1,835.74","1,612,552"
,"Feb 1, 2021","1,853.57","1,922.39","1,850.93","1,901.35","1,602,182"
,"Feb 2, 2021","1,922.56","1,955.76","1,914.49","1,927.51","2,273,723"
,"Feb 3, 2021","2,073.00","2,116.50","2,018.38","2,070.07","4,118,170"
,"Feb 4, 2021","2,068.89","2,078.55","2,042.59","2,062.37","1,852,329"
,"Feb 5, 2021","2,070.00","2,102.51","2,059.33","2,098.00","1,535,135"
,"Feb 8, 2021","2,105.91","2,123.55","2,072.00","2,092.91","1,242,411"
,"Feb 9, 2021","2,078.54","2,105.13","2,078.54","2,083.51","889,850"
,"Feb 10, 2021","2,094.21","2,108.37","2,063.09","2,095.38","1,135,464"
,"Feb 11, 2021","2,099.51","2,102.03","2,077.32","2,095.89","945,650"
,"Feb 12, 2021","2,090.25","2,108.82","2,083.13","2,104.11","855,865"
,"Feb 16, 2021","2,104.36","2,152.68","2,104.36","2,121.90","1,133,838"
,"Feb 17, 2021","2,100.00","2,133.66","2,098.92","2,128.31","1,070,941"
,"Feb 18, 2021","2,110.39","2,132.74","2,103.71","2,117.20","1,121,855"
,"Feb 19, 2021","2,119.27","2,130.53","2,097.41","2,101.14","1,457,612"
,"Feb 22, 2021","2,067.00","2,091.42","2,062.14","2,064.88","1,367,533"
,"Feb 23, 2021","2,025.01","2,082.01","2,002.02","2,070.86","1,667,377"
,"Feb 24, 2021","2,041.83","2,100.78","2,038.13","2,095.17","1,248,349"
,"Feb 25, 2021","2,067.45","2,094.88","2,021.29","2,031.36","1,828,432"
