,"Instructions
Enter stock symbol in cell B4",,,,,POWERED BY
,,,,,,Google Finance
,,,,,,
,mcd,<< enter a symbol,,,,
,,"<< optionally, enter an exchange (ex: NASDAQ, NYSE)",,,,
,,,,,,
,McDonald's Corp,,,,,
,,,,,,
,Current Price,,Change,% Change,,
,248.80,,+4.62,+1.89%,,
,,,,,,
,,,,,,
,Market Cap,P/E Ratio,Beta,,,
,"185,915M",25.68,0.58,,,
,,,,,,12 Months
,,,,,,
,,,,,,
,mcd,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,Date,Open,High,Low,Close,Volume
,"Dec 3, 2020",210.94,213.23,210.56,211.51,"3,732,543"
,"Dec 4, 2020",211.60,213.38,210.10,210.74,"3,151,060"
,"Dec 7, 2020",208.53,209.11,206.19,208.89,"3,826,001"
,"Dec 8, 2020",206.55,209.10,206.41,208.39,"2,709,447"
,"Dec 9, 2020",209.49,209.53,207.33,208.69,"3,011,056"
,"Dec 10, 2020",208.50,208.76,207.07,208.04,"2,956,368"
,"Dec 11, 2020",207.47,208.94,206.73,207.76,"2,770,817"
,"Dec 14, 2020",210.73,214.74,210.21,211.92,"4,744,960"
,"Dec 15, 2020",213.22,216.21,212.74,214.86,"3,799,294"
,"Dec 16, 2020",214.88,217.51,213.66,213.80,"2,681,984"
,"Dec 17, 2020",215.39,215.79,213.53,214.25,"2,558,810"
,"Dec 18, 2020",215.15,216.85,213.82,215.08,"7,929,060"
,"Dec 21, 2020",210.62,212.55,208.01,211.67,"4,342,480"
,"Dec 22, 2020",211.20,212.91,210.37,211.92,"2,773,709"
,"Dec 23, 2020",212.30,213.43,211.79,212.02,"1,658,765"
,"Dec 24, 2020",212.12,212.74,211.14,211.39,"1,047,650"
,"Dec 28, 2020",212.99,214.88,212.19,214.02,"2,550,104"
,"Dec 29, 2020",214.64,215.78,212.45,212.71,"1,665,725"
,"Dec 30, 2020",212.96,213.36,211.28,211.56,"1,854,990"
,"Dec 31, 2020",211.25,214.93,210.78,214.58,"2,610,914"
,"Jan 4, 2021",214.49,214.72,208.22,210.22,"4,055,409"
,"Jan 5, 2021",210.18,211.95,209.62,211.48,"2,576,065"
,"Jan 6, 2021",211.30,211.71,209.03,211.00,"3,083,426"
,"Jan 7, 2021",213.22,213.22,210.56,211.98,"3,142,014"
,"Jan 8, 2021",212.90,216.12,212.23,215.87,"2,639,146"
,"Jan 11, 2021",215.09,216.12,213.12,214.23,"2,545,893"
,"Jan 12, 2021",213.69,214.33,210.94,211.60,"2,951,952"
,"Jan 13, 2021",210.91,213.13,210.90,212.09,"2,069,926"
,"Jan 14, 2021",212.10,212.67,208.00,208.50,"3,666,716"
,"Jan 15, 2021",207.97,210.70,207.42,209.91,"3,593,732"
,"Jan 19, 2021",210.68,211.00,207.88,209.09,"3,331,595"
,"Jan 20, 2021",210.15,214.41,209.63,213.63,"4,077,731"
,"Jan 21, 2021",214.06,215.96,213.32,213.53,"2,676,309"
,"Jan 22, 2021",212.51,214.14,211.17,213.38,"2,196,479"
,"Jan 25, 2021",212.22,214.05,210.56,213.34,"2,615,384"
,"Jan 26, 2021",212.51,215.51,212.17,215.38,"2,907,817"
,"Jan 27, 2021",212.39,213.15,207.00,207.00,"5,464,011"
,"Jan 28, 2021",208.63,210.36,205.13,206.82,"5,401,592"
,"Jan 29, 2021",205.11,209.40,203.11,207.84,"5,203,314"
,"Feb 1, 2021",208.48,209.69,206.60,207.93,"2,812,476"
,"Feb 2, 2021",208.09,212.63,207.65,209.76,"2,786,000"
,"Feb 3, 2021",208.35,209.99,207.93,208.71,"3,020,703"
,"Feb 4, 2021",210.00,212.11,208.67,211.03,"2,777,644"
,"Feb 5, 2021",212.59,214.18,212.01,212.58,"2,600,218"
,"Feb 8, 2021",212.53,212.99,209.96,211.58,"2,696,298"
,"Feb 9, 2021",212.07,216.18,211.77,215.98,"3,047,287"
,"Feb 10, 2021",216.88,217.31,213.81,214.40,"3,161,598"
,"Feb 11, 2021",214.54,214.80,212.40,214.27,"2,583,649"
,"Feb 12, 2021",214.00,214.70,212.99,213.90,"2,781,322"
,"Feb 16, 2021",214.37,216.94,213.83,215.03,"2,893,080"
,"Feb 17, 2021",213.96,214.89,212.63,213.45,"3,304,816"
,"Feb 18, 2021",213.29,215.86,212.65,215.43,"2,190,987"
,"Feb 19, 2021",215.29,215.73,211.97,212.24,"3,181,592"
,"Feb 22, 2021",211.50,213.00,209.69,212.06,"2,911,052"
,"Feb 23, 2021",214.50,215.70,210.43,211.32,"3,243,046"
,"Feb 24, 2021",210.84,214.10,210.42,213.27,"2,887,130"
,"Feb 25, 2021",212.70,212.92,209.74,210.95,"3,131,399"
,"Feb 26, 2021",210.75,211.64,206.14,206.14,"5,333,957"
,"Mar 1, 2021",207.35,210.38,207.35,208.25,"2,827,891"
,"Mar 2, 2021",208.00,209.90,206.19,208.67,"3,016,563"
,"Mar 3, 2021",207.52,208.99,205.61,205.82,"3,488,639"
,"Mar 4, 2021",206.16,207.49,202.73,204.84,"3,926,187"
,"Mar 5, 2021",205.75,208.23,202.96,207.37,"3,608,200"
,"Mar 8, 2021",207.70,210.59,207.14,209.11,"3,157,129"
,"Mar 9, 2021",210.63,211.20,208.28,208.55,"3,646,703"
,"Mar 10, 2021",208.72,213.63,208.24,213.31,"3,447,188"
,"Mar 11, 2021",214.70,215.23,211.49,211.57,"3,618,040"
,"Mar 12, 2021",212.04,214.24,211.42,212.34,"2,818,192"
