,"Instructions
Enter stock symbol in cell B4",,,,,POWERED BY
,,,,,,Google Finance
,,,,,,
,nke,<< enter a symbol,,,,
,,"<< optionally, enter an exchange (ex: NASDAQ, NYSE)",,,,
,,,,,,
,Nike Inc,,,,,
,,,,,,
,Current Price,,Change,% Change,,
,170.00,,+3.30,+1.98%,,
,,,,,,
,,,,,,
,Market Cap,P/E Ratio,Beta,,,
,"269,079M",45.16,0.94,,,
,,,,,,12 Months
,,,,,,
,,,,,,
,nke,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,Date,Open,High,Low,Close,Volume
,"Dec 3, 2020",135.10,137.95,135.00,136.96,"4,930,860"
,"Dec 4, 2020",137.08,137.40,135.64,137.19,"4,344,036"
,"Dec 7, 2020",137.00,138.86,136.80,138.75,"4,590,776"
,"Dec 8, 2020",138.24,140.44,137.65,139.12,"6,953,582"
,"Dec 9, 2020",140.57,140.57,138.27,138.79,"4,341,305"
,"Dec 10, 2020",138.28,139.14,137.24,137.58,"4,511,003"
,"Dec 11, 2020",137.39,138.14,136.23,137.41,"4,172,439"
,"Dec 14, 2020",138.92,139.00,136.20,136.28,"7,598,952"
,"Dec 15, 2020",137.43,139.44,137.25,139.39,"7,642,595"
,"Dec 16, 2020",139.07,140.49,137.46,138.34,"6,573,449"
,"Dec 17, 2020",139.92,140.74,138.75,140.50,"8,726,997"
,"Dec 18, 2020",141.09,141.14,137.17,137.28,"17,970,788"
,"Dec 21, 2020",144.82,147.95,142.51,144.02,"16,111,271"
,"Dec 22, 2020",143.05,143.47,141.09,142.45,"6,341,604"
,"Dec 23, 2020",142.56,143.60,141.70,141.76,"3,388,279"
,"Dec 24, 2020",141.10,142.19,141.10,141.60,"1,821,900"
,"Dec 28, 2020",142.54,142.92,141.04,142.43,"4,081,534"
,"Dec 29, 2020",142.83,143.06,140.43,141.57,"3,232,430"
,"Dec 30, 2020",142.16,142.61,140.66,141.58,"3,052,122"
,"Dec 31, 2020",141.70,141.79,140.37,141.47,"2,949,915"
,"Jan 4, 2021",142.85,142.97,138.32,140.10,"6,178,517"
,"Jan 5, 2021",138.60,141.66,138.60,141.23,"4,163,149"
,"Jan 6, 2021",141.25,143.57,139.53,142.35,"6,072,939"
,"Jan 7, 2021",143.20,145.64,143.00,144.95,"5,256,940"
,"Jan 8, 2021",145.55,146.82,144.90,146.35,"3,950,741"
,"Jan 11, 2021",146.00,147.10,144.80,147.05,"4,254,143"
,"Jan 12, 2021",146.50,146.85,144.38,145.05,"3,678,834"
,"Jan 13, 2021",144.83,145.13,142.43,143.04,"3,330,127"
,"Jan 14, 2021",143.66,144.90,140.93,141.30,"4,104,024"
,"Jan 15, 2021",140.56,142.38,139.88,140.72,"6,412,351"
,"Jan 19, 2021",140.99,141.22,138.41,139.27,"6,537,800"
,"Jan 20, 2021",140.38,143.21,140.01,142.80,"4,654,404"
,"Jan 21, 2021",142.41,143.81,141.13,141.61,"4,013,667"
,"Jan 22, 2021",141.09,141.88,139.31,139.35,"4,150,453"
,"Jan 25, 2021",138.99,139.18,134.74,137.55,"5,998,739"
,"Jan 26, 2021",137.76,137.85,134.71,135.10,"5,312,341"
,"Jan 27, 2021",132.22,132.86,130.27,131.02,"7,815,862"
,"Jan 28, 2021",132.36,136.37,131.50,134.72,"6,244,598"
,"Jan 29, 2021",133.95,135.03,132.15,133.59,"7,166,051"
,"Feb 1, 2021",135.37,136.05,133.30,135.71,"4,366,833"
,"Feb 2, 2021",137.06,139.86,136.75,139.59,"7,132,823"
,"Feb 3, 2021",139.70,140.06,138.01,138.63,"4,678,553"
,"Feb 4, 2021",139.55,141.05,138.92,140.63,"4,533,707"
,"Feb 5, 2021",141.34,145.57,141.29,145.11,"6,151,478"
,"Feb 8, 2021",145.15,145.88,142.80,143.41,"6,304,300"
,"Feb 9, 2021",143.60,144.22,141.70,141.79,"3,436,347"
,"Feb 10, 2021",142.45,142.60,140.90,142.46,"4,125,714"
,"Feb 11, 2021",143.00,144.35,142.41,143.54,"3,828,731"
,"Feb 12, 2021",143.11,143.45,141.40,142.12,"3,636,966"
,"Feb 16, 2021",143.37,143.37,141.03,141.71,"4,873,364"
,"Feb 17, 2021",141.30,144.56,140.21,143.99,"6,438,432"
,"Feb 18, 2021",142.98,145.39,141.21,145.09,"4,487,139"
,"Feb 19, 2021",145.43,145.50,141.50,142.02,"7,485,950"
,"Feb 22, 2021",141.54,142.46,136.26,136.67,"8,985,889"
,"Feb 23, 2021",136.03,136.83,131.58,136.13,"10,364,140"
,"Feb 24, 2021",135.06,135.96,133.95,135.65,"6,360,911"
,"Feb 25, 2021",137.60,139.18,134.53,135.54,"5,674,302"
,"Feb 26, 2021",135.90,136.85,133.36,134.78,"6,650,210"
,"Mar 1, 2021",135.64,139.15,135.50,137.65,"5,717,793"
,"Mar 2, 2021",137.56,138.26,135.61,137.02,"5,292,900"
,"Mar 3, 2021",137.09,137.41,134.15,134.26,"4,888,379"
,"Mar 4, 2021",134.00,135.13,130.18,132.04,"7,181,486"
,"Mar 5, 2021",133.54,133.68,129.19,133.35,"5,957,148"
,"Mar 8, 2021",133.64,135.63,132.37,134.56,"4,983,035"
,"Mar 9, 2021",135.51,138.00,135.45,135.95,"5,977,764"
,"Mar 10, 2021",136.50,138.20,136.10,137.59,"4,519,576"
,"Mar 11, 2021",139.18,142.20,138.56,141.19,"5,696,538"
,"Mar 12, 2021",140.00,140.91,138.60,140.45,"4,143,150"
