,"Instructions
Enter stock symbol in cell B4",,,,,POWERED BY
,,,,,,Google Finance
,,,,,,
,tsla,<< enter a symbol,,,,
,,"<< optionally, enter an exchange (ex: NASDAQ, NYSE)",,,,
,,,,,,
,Tesla Inc,,,,,
,,,,,,
,Current Price,,Change,% Change,,
,"1,084.60",,-10.40,-0.95%,,
,,,,,,
,,,,,,
,Market Cap,P/E Ratio,Beta,,,
,"1,089,225M",351.95,2.03,,,
,,,,,,12 Months
,,,,,,
,,,,,,
,tsla,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,Date,Open,High,Low,Close,Volume
,"Dec 3, 2020",590.02,598.97,582.43,593.38,"42,552,003"
,"Dec 4, 2020",591.01,599.04,585.50,599.04,"29,401,314"
,"Dec 7, 2020",604.92,648.79,603.05,641.76,"56,309,709"
,"Dec 8, 2020",625.51,651.28,618.50,649.88,"64,265,029"
,"Dec 9, 2020",653.69,654.32,588.00,604.48,"71,291,190"
,"Dec 10, 2020",574.37,627.75,566.34,627.07,"67,083,153"
,"Dec 11, 2020",615.01,624.00,596.80,609.99,"46,474,974"
,"Dec 14, 2020",619.00,642.75,610.20,639.83,"52,040,649"
,"Dec 15, 2020",643.28,646.90,623.80,633.25,"45,223,559"
,"Dec 16, 2020",628.23,632.50,605.00,622.77,"42,095,813"
,"Dec 17, 2020",628.19,658.82,619.50,655.90,"56,270,144"
,"Dec 18, 2020",668.90,695.00,628.54,695.00,"222,126,194"
,"Dec 21, 2020",666.24,668.50,646.07,649.86,"58,045,264"
,"Dec 22, 2020",648.00,649.88,614.23,640.34,"51,861,644"
,"Dec 23, 2020",632.20,651.50,622.57,645.98,"33,172,972"
,"Dec 24, 2020",642.99,666.09,641.00,661.77,"22,865,568"
,"Dec 28, 2020",674.51,681.40,660.80,663.69,"32,278,561"
,"Dec 29, 2020",661.00,669.90,655.00,665.99,"22,910,811"
,"Dec 30, 2020",672.00,696.60,668.36,694.78,"42,846,021"
,"Dec 31, 2020",699.99,718.72,691.12,705.67,"49,649,928"
,"Jan 4, 2021",719.46,744.49,717.19,729.77,"48,638,189"
,"Jan 5, 2021",723.66,740.84,719.20,735.11,"32,245,165"
,"Jan 6, 2021",758.49,774.00,749.10,755.98,"44,699,965"
,"Jan 7, 2021",777.63,816.99,775.20,816.04,"51,498,948"
,"Jan 8, 2021",856.00,884.49,838.39,880.02,"75,055,528"
,"Jan 11, 2021",849.40,854.43,803.62,811.19,"59,554,146"
,"Jan 12, 2021",831.00,868.00,827.34,849.44,"46,270,720"
,"Jan 13, 2021",852.76,860.47,832.00,854.41,"33,312,496"
,"Jan 14, 2021",843.39,863.00,838.75,845.00,"31,266,327"
,"Jan 15, 2021",852.00,859.90,819.10,826.16,"38,777,596"
,"Jan 19, 2021",837.80,850.00,833.00,844.55,"25,366,980"
,"Jan 20, 2021",858.74,859.50,837.28,850.45,"25,665,883"
,"Jan 21, 2021",855.00,855.72,841.42,844.99,"20,598,133"
,"Jan 22, 2021",834.31,848.00,828.62,846.64,"20,066,497"
,"Jan 25, 2021",855.00,900.40,838.82,880.80,"41,173,397"
,"Jan 26, 2021",891.38,895.90,871.60,883.09,"23,131,603"
,"Jan 27, 2021",870.35,891.50,858.66,864.16,"27,333,955"
,"Jan 28, 2021",820.00,848.00,801.00,835.43,"26,378,048"
,"Jan 29, 2021",830.00,842.41,780.10,793.53,"34,990,754"
,"Feb 1, 2021",814.29,842.00,795.56,839.81,"25,391,385"
,"Feb 2, 2021",844.68,880.50,842.20,872.79,"24,346,213"
,"Feb 3, 2021",877.02,878.08,853.06,854.69,"18,343,510"
,"Feb 4, 2021",855.00,856.50,833.42,849.99,"15,812,661"
,"Feb 5, 2021",845.00,864.77,838.97,852.23,"18,566,637"
,"Feb 8, 2021",869.67,877.77,854.75,863.42,"20,161,719"
,"Feb 9, 2021",855.12,859.80,841.75,849.46,"15,157,651"
,"Feb 10, 2021",843.64,844.82,800.02,804.82,"36,216,090"
,"Feb 11, 2021",812.44,829.88,801.73,811.66,"21,622,753"
,"Feb 12, 2021",801.26,817.33,785.33,816.12,"23,768,313"
,"Feb 16, 2021",818.00,821.00,792.44,796.22,"19,802,324"
,"Feb 17, 2021",779.09,799.84,762.01,798.15,"26,078,898"
,"Feb 18, 2021",780.90,794.69,776.27,787.38,"17,957,058"
,"Feb 19, 2021",795.00,796.79,777.37,781.30,"18,958,255"
,"Feb 22, 2021",762.64,768.50,710.20,714.50,"37,269,716"
,"Feb 23, 2021",662.13,713.61,619.00,698.84,"66,606,882"
,"Feb 24, 2021",711.85,745.00,694.17,742.02,"36,766,950"
,"Feb 25, 2021",726.15,737.21,670.58,682.22,"39,023,855"
,"Feb 26, 2021",700.00,706.70,659.51,675.50,"41,089,173"
,"Mar 1, 2021",690.11,872.00,685.05,718.43,"27,136,239"
,"Mar 2, 2021",718.28,721.11,685.00,686.44,"23,732,158"
,"Mar 3, 2021",687.99,700.70,651.71,653.20,"30,207,960"
,"Mar 4, 2021",655.80,873.94,600.00,621.44,"65,919,530"
,"Mar 5, 2021",626.06,627.84,539.49,597.95,"89,396,459"
,"Mar 8, 2021",600.55,620.13,558.79,563.00,"51,786,958"
,"Mar 9, 2021",608.18,678.09,595.21,673.58,"67,523,328"
,"Mar 10, 2021",700.30,717.85,655.06,668.06,"60,605,672"
,"Mar 11, 2021",699.40,702.50,677.18,699.60,"36,253,892"
,"Mar 12, 2021",670.00,694.88,666.14,693.73,"33,583,840"
