,"Instructions
Enter stock symbol in cell B4",,,,,POWERED BY
,,,,,,Google Finance
,,,,,,
,wmt,<< enter a symbol,,,,
,,"<< optionally, enter an exchange (ex: NASDAQ, NYSE)",,,,
,,,,,,
,Walmart Inc,,,,,
,,,,,,
,Current Price,,Change,% Change,,
,135.47,,-1.67,-1.22%,,
,,,,,,
,,,,,,
,Market Cap,P/E Ratio,Beta,,,
,"377,758M",47.43,0.51,,,
,,,,,,12 Months
,,,,,,
,,,,,,
,wmt,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,Date,Open,High,Low,Close,Volume
,"Dec 3, 2020",150.28,150.28,148.39,149.30,"8,575,283"
,"Dec 4, 2020",149.51,149.51,147.58,148.91,"6,963,068"
,"Dec 7, 2020",148.46,148.99,147.16,148.11,"6,159,738"
,"Dec 8, 2020",147.36,149.85,147.18,149.45,"6,905,454"
,"Dec 9, 2020",150.00,150.00,147.89,148.27,"6,713,231"
,"Dec 10, 2020",147.75,148.15,146.57,147.04,"6,884,118"
,"Dec 11, 2020",146.92,147.51,145.94,147.00,"5,620,262"
,"Dec 14, 2020",147.70,147.72,145.40,145.65,"8,362,652"
,"Dec 15, 2020",145.52,146.36,144.86,145.58,"10,631,500"
,"Dec 16, 2020",146.24,146.89,145.08,145.43,"8,550,348"
,"Dec 17, 2020",146.06,146.44,145.15,146.10,"10,226,457"
,"Dec 18, 2020",146.62,147.18,145.16,145.95,"13,794,744"
,"Dec 21, 2020",145.50,146.67,145.06,145.97,"8,517,668"
,"Dec 22, 2020",145.15,146.23,143.14,144.20,"12,554,057"
,"Dec 23, 2020",143.54,144.22,142.30,143.22,"6,810,150"
,"Dec 24, 2020",143.54,144.39,143.18,143.50,"3,018,157"
,"Dec 28, 2020",144.04,145.30,143.33,145.22,"6,448,325"
,"Dec 29, 2020",145.64,145.85,143.59,144.30,"5,979,380"
,"Dec 30, 2020",144.88,145.15,143.94,144.18,"6,250,385"
,"Dec 31, 2020",144.20,144.27,142.85,144.15,"5,938,018"
,"Jan 4, 2021",144.30,146.89,144.28,146.53,"10,727,414"
,"Jan 5, 2021",146.60,147.07,144.49,145.75,"8,832,653"
,"Jan 6, 2021",145.09,148.10,145.01,146.66,"7,306,302"
,"Jan 7, 2021",147.62,147.76,146.04,146.65,"6,845,971"
,"Jan 8, 2021",146.88,147.00,145.81,146.63,"8,159,400"
,"Jan 11, 2021",146.00,147.99,146.00,147.29,"8,782,414"
,"Jan 12, 2021",149.00,149.93,148.32,148.97,"7,791,143"
,"Jan 13, 2021",148.75,149.07,147.43,147.45,"5,356,541"
,"Jan 14, 2021",147.82,148.00,146.04,146.97,"7,672,366"
,"Jan 15, 2021",145.14,145.90,143.67,144.64,"11,973,493"
,"Jan 19, 2021",144.64,145.07,142.67,143.39,"8,041,153"
,"Jan 20, 2021",143.59,145.66,142.89,145.51,"7,925,237"
,"Jan 21, 2021",145.36,145.73,144.21,144.85,"4,783,285"
,"Jan 22, 2021",145.60,147.34,145.12,146.33,"6,406,452"
,"Jan 25, 2021",145.36,146.25,144.27,146.20,"6,343,721"
,"Jan 26, 2021",145.63,147.81,145.47,147.51,"5,010,495"
,"Jan 27, 2021",146.96,147.86,143.55,143.84,"9,970,114"
,"Jan 28, 2021",144.46,146.26,143.63,143.75,"7,433,874"
,"Jan 29, 2021",143.18,143.75,140.35,140.49,"10,836,372"
,"Feb 1, 2021",140.91,141.49,139.19,139.27,"8,648,363"
,"Feb 2, 2021",139.76,142.15,139.44,140.77,"9,000,788"
,"Feb 3, 2021",140.66,142.05,140.63,141.20,"4,988,932"
,"Feb 4, 2021",141.79,143.18,141.26,142.53,"5,782,089"
,"Feb 5, 2021",143.46,144.85,142.53,144.36,"6,817,249"
,"Feb 8, 2021",144.81,145.58,144.46,145.03,"5,275,117"
,"Feb 9, 2021",144.58,146.32,144.58,145.83,"5,302,336"
,"Feb 10, 2021",145.83,145.90,143.54,144.13,"6,192,319"
,"Feb 11, 2021",144.14,144.95,143.71,144.02,"4,263,820"
,"Feb 12, 2021",144.16,144.61,143.67,144.47,"4,474,531"
,"Feb 16, 2021",145.94,146.39,144.93,145.66,"9,297,029"
,"Feb 17, 2021",144.65,147.50,144.50,147.20,"8,675,565"
,"Feb 18, 2021",139.00,140.70,137.50,137.66,"32,309,133"
,"Feb 19, 2021",137.80,139.42,137.67,138.34,"12,201,992"
,"Feb 22, 2021",137.74,138.34,136.25,137.69,"10,702,210"
,"Feb 23, 2021",137.11,137.39,135.06,135.47,"10,433,397"
,"Feb 24, 2021",135.87,136.16,133.05,133.21,"15,521,905"
,"Feb 25, 2021",133.10,134.01,131.48,131.95,"11,108,232"
,"Feb 26, 2021",131.48,131.81,129.86,129.92,"14,156,930"
,"Mar 1, 2021",131.58,132.57,131.13,131.37,"11,544,848"
,"Mar 2, 2021",131.51,132.75,130.01,130.11,"9,743,566"
,"Mar 3, 2021",129.50,129.93,127.55,127.59,"13,945,761"
,"Mar 4, 2021",127.86,129.58,126.28,127.53,"15,115,971"
,"Mar 5, 2021",126.83,129.75,126.75,129.12,"11,357,863"
,"Mar 8, 2021",129.33,129.84,127.81,127.88,"13,662,797"
,"Mar 9, 2021",128.80,129.88,128.32,128.89,"10,662,883"
,"Mar 10, 2021",128.86,133.05,128.47,132.18,"14,976,448"
,"Mar 11, 2021",133.36,133.49,131.53,132.13,"11,829,888"
,"Mar 12, 2021",132.52,134.52,132.08,134.12,"9,479,187"
